"filename", "language", "CMake", "Markdown", "C++", "CUDA C++", "Log", "Shell Script", "JSON", "CMake Cache", "Makefile", "XML", "TypeScript", "comment", "blank", "total"
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-cuda_backend-Debug-e075bf1ee1a304c6c8a0.json", "JSON", 0, 0, 0, 0, 0, 0, -323, 0, 0, 0, 0, 0, -1, -324
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-cuda_test-Debug-6c7fb1609b1ed404e20a.json", "JSON", 0, 0, 0, 0, 0, 0, 420, 0, 0, 0, 0, 0, 1, 421
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphin-Debug-8081bc74c459b5b78bf5.json", "JSON", 0, 0, 0, 0, 0, 0, -401, 0, 0, 0, 0, 0, -1, -402
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphin-Debug-ba7dbd9be1c5b75a5caf.json", "JSON", 0, 0, 0, 0, 0, 0, 401, 0, 0, 0, 0, 0, 1, 402
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphin_tests-Debug-a3896d4ca9022817c423.json", "JSON", 0, 0, 0, 0, 0, 0, 428, 0, 0, 0, 0, 0, 1, 429
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphinlib-Debug-df92e881f86710f6b214.json", "JSON", 0, 0, 0, 0, 0, 0, -564, 0, 0, 0, 0, 0, -1, -565
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphinlib-Debug-fa2161eb70b9a92bda46.json", "JSON", 0, 0, 0, 0, 0, 0, 524, 0, 0, 0, 0, 0, 1, 525
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-fft_performance_test-Debug-92fd2d13026bf165edbe.json", "JSON", 0, 0, 0, 0, 0, 0, 420, 0, 0, 0, 0, 0, 1, 421
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-imgui_lib-Debug-2a225024450bc706d21a.json", "JSON", 0, 0, 0, 0, 0, 0, -180, 0, 0, 0, 0, 0, -1, -181
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-imgui_lib-Debug-c23e93502e1d369c41ed.json", "JSON", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 1, 181
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-implot3d_lib-Debug-708bd818efdfcfa2debb.json", "JSON", 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 1, 163
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-implot3d_lib-Debug-d17e06329df9cfd5a732.json", "JSON", 0, 0, 0, 0, 0, 0, -162, 0, 0, 0, 0, 0, -1, -163
"/home/lennart-k-hler/projects/dolphin/build/CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"/home/lennart-k-hler/projects/dolphin/build/CMakeFiles/Makefile.cmake", "CMake", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/home/lennart-k-hler/projects/dolphin/build/CMakeFiles/dolphinlib.dir/DependInfo.cmake", "CMake", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5
"/home/lennart-k-hler/projects/dolphin/build/CMakeFiles/dolphinlib.dir/cmake_clean.cmake", "CMake", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10
"/home/lennart-k-hler/projects/dolphin/build/CTestTestfile.cmake", "CMake", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/lennart-k-hler/projects/dolphin/build/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, -55, 0, 0, 3, -16, -68
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251110-1226/Test.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251111-1034/Test.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251112-1041/Test.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251114-0903/Test.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251117-0846/Test.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/Temporary/LastTest.log", "Log", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 12, 75
"/home/lennart-k-hler/projects/dolphin/build/Testing/Temporary/LastTest_20251110-1226.log", "Log", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/lennart-k-hler/projects/dolphin/build/Testing/Temporary/LastTest_20251111-1034.log", "Log", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/lennart-k-hler/projects/dolphin/build/Testing/Temporary/LastTest_20251112-1041.log", "Log", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/lennart-k-hler/projects/dolphin/build/Testing/Temporary/LastTest_20251114-0903.log", "Log", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/lennart-k-hler/projects/dolphin/build/Testing/Temporary/LastTest_20251117-0846.log", "Log", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/lennart-k-hler/projects/dolphin/build/Testing/Temporary/LastTestsFailed.log", "Log", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/lennart-k-hler/projects/dolphin/build/backends/cpu/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 2, 11
"/home/lennart-k-hler/projects/dolphin/build/backends/cuda/CMakeFiles/cuda_backend.dir/DependInfo.cmake", "CMake", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/lennart-k-hler/projects/dolphin/build/backends/cuda/CMakeFiles/cuda_backend.dir/cmake_clean.cmake", "CMake", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/lennart-k-hler/projects/dolphin/build/backends/cuda/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 8, 38
"/home/lennart-k-hler/projects/dolphin/build/cmake_install.cmake", "CMake", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/lennart-k-hler/projects/dolphin/build/compile_commands.json", "JSON", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"/home/lennart-k-hler/projects/dolphin/build/cube/build/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 2, 11
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/cpu_test.dir/DependInfo.cmake", "CMake", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/cpu_test.dir/cmake_clean.cmake", "CMake", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/cpu_test.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/cuda_test.dir/DependInfo.cmake", "CMake", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/cuda_test.dir/cmake_clean.cmake", "CMake", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/cuda_test.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/dolphin_tests.dir/DependInfo.cmake", "CMake", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/dolphin_tests.dir/cmake_clean.cmake", "CMake", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/dolphin_tests.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/fft_performance_test.dir/DependInfo.cmake", "CMake", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/fft_performance_test.dir/cmake_clean.cmake", "CMake", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/fft_performance_test.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"/home/lennart-k-hler/projects/dolphin/build/tests/CTestTestfile.cmake", "CMake", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/lennart-k-hler/projects/dolphin/build/tests/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 52, 55, 221
"/home/lennart-k-hler/projects/dolphin/build/tests/backends/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/home/lennart-k-hler/projects/dolphin/build/tests/backends/CMakeFiles/cpu_test.dir/DependInfo.cmake", "CMake", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/home/lennart-k-hler/projects/dolphin/build/tests/backends/CMakeFiles/cpu_test.dir/cmake_clean.cmake", "CMake", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/lennart-k-hler/projects/dolphin/build/tests/backends/CMakeFiles/cpu_test.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"/home/lennart-k-hler/projects/dolphin/build/tests/backends/CMakeFiles/cuda_test.dir/DependInfo.cmake", "CMake", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/home/lennart-k-hler/projects/dolphin/build/tests/backends/CMakeFiles/cuda_test.dir/cmake_clean.cmake", "CMake", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/lennart-k-hler/projects/dolphin/build/tests/backends/CMakeFiles/cuda_test.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"/home/lennart-k-hler/projects/dolphin/build/tests/backends/CMakeFiles/fft_performance_test.dir/DependInfo.cmake", "CMake", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/home/lennart-k-hler/projects/dolphin/build/tests/backends/CMakeFiles/fft_performance_test.dir/cmake_clean.cmake", "CMake", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/lennart-k-hler/projects/dolphin/build/tests/backends/CMakeFiles/fft_performance_test.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"/home/lennart-k-hler/projects/dolphin/build/tests/backends/CTestTestfile.cmake", "CMake", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"/home/lennart-k-hler/projects/dolphin/build/tests/backends/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 61, 67, 278
"/home/lennart-k-hler/projects/dolphin/build/tests/backends/cmake_install.cmake", "CMake", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"/home/lennart-k-hler/projects/dolphin/build/tests/cmake_install.cmake", "CMake", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"/home/lennart-k-hler/projects/dolphin/configs/default_config.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
