100	10538.8
101	46291.8
102	17014.4
103	53377.2
104	15102.6
105	24553.8
106	44063.2
107	67473.8
108	16309.6
109	64586.8
110	22647
111	30635.6
112	17303.2
113	75756.2
114	23912.8
115	28194.2
116	28846.4
117	24470.2
118	53657.2
119	36694.2
120	17596.4
121	48848.4
122	61444.2
123	47606.6
124	40701.6
125	34418.8
126	33035.6
127	102498
128	24106.6
129	60781.8
130	33127.6
131	137742
132	44965.6
133	54232.6
134	89904.8
135	39026.4
136	51357.2
137	170473
138	51028.6
139	185207
140	40281
141	81507
142	104938
143	73670
144	47159.8
145	72886.6
146	115892
147	79127
148	85438
149	235130
150	49904.2
151	207724
152	74152.4
153	83534.2
154	83751.6
155	85202.8
156	66931
157	224440
158	159727
159	129200
160	51688.4
161	106657
162	64992.4
163	275295
164	123762
165	88409.2
166	194340
167	296065
168	74205.2
169	100927
170	123711
171	111189
172	145097
173	359092
174	139580
175	107089
176	100766
177	191237
178	256128
179	347273
180	85483.8
181	369704
182	125001
183	216113
184	125283
185	170930
186	152925
187	180518
188	196737
189	127636
190	160424
191	404338
192	94085
193	476848
194	362112
195	179057
196	138947
197	494534
198	151979
199	523832
200	115392
201	323027
202	454629
203	237722
204	182033
205	245730
206	474367
207	215726
208	141642
209	249446
210	176149
211	718249
212	328777
213	419565
214	536880
215	298881
216	146215
217	298108
218	634231
219	473514
220	238772
221	308878
222	317351
223	929813
224	178924
225	281613
226	701052
227	866516
228	263358
229	854952
230	320941
231	404149
232	336188
233	991187
234	262969
235	455823
236	562898
237	668743
238	331331
239	1.06237e+06
240	242151
241	973032
242	403876
243	351922
244	607897
245	379460
246	465791
247	417879
248	389211
249	734455
250	266845
251	950463
252	340154
253	473792
254	871870
255	386755
256	239768
257	1.05484e+06
258	493675
259	572985
260	375142
262	1.3534e+06
264	494649
266	576331
268	867138
270	417321
272	502605
274	1.5882e+06
276	571594
278	1.59324e+06
280	486340
282	794405
284	1.11616e+06
286	740353
288	445543
290	693993
292	1.1414e+06
294	676223
296	859824
298	2.13035e+06
300	560009
302	2.25762e+06
304	749010
306	765403
308	889752
310	898907
312	711259
314	2.27727e+06
316	1.58083e+06
318	1.2019e+06
320	638358
322	1.05935e+06
324	730897
326	2.78295e+06
328	1.19601e+06
330	936091
332	1.90202e+06
334	2.95534e+06
336	863265
338	1.08166e+06
340	1.10117e+06
342	1.09324e+06
344	1.45982e+06
346	3.36902e+06
348	1.30839e+06
350	1.05503e+06
352	1.16126e+06
354	1.85156e+06
356	2.50399e+06
358	3.46324e+06
360	1.00266e+06
362	3.75292e+06
364	1.35005e+06
366	2.03726e+06
368	1.39764e+06
370	1.65704e+06
372	1.5492e+06
