"filename", "language", "C++", "CMake", "Makefile", "JSON", "XML", "Log", "CMake Cache", "TypeScript", "Markdown", "comment", "blank", "total"
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-cufft_vs_fftw_comparison-Debug-eeba7e8552b6f9b2bfe2.json", "JSON", 0, 0, 0, 231, 0, 0, 0, 0, 0, 0, 1, 232
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphin-Debug-15ebd15a0bf215123657.json", "JSON", 0, 0, 0, 401, 0, 0, 0, 0, 0, 0, 1, 402
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphin-Debug-befa68194cc747524152.json", "JSON", 0, 0, 0, -401, 0, 0, 0, 0, 0, 0, -1, -402
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphin_tests-Debug-85e97cb1a811e23bacdf.json", "JSON", 0, 0, 0, -428, 0, 0, 0, 0, 0, 0, -1, -429
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphin_tests-Debug-de8abdb2442fab23988f.json", "JSON", 0, 0, 0, 428, 0, 0, 0, 0, 0, 0, 1, 429
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphinlib-Debug-01358fe4dcd76212bfc3.json", "JSON", 0, 0, 0, -548, 0, 0, 0, 0, 0, 0, -1, -549
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphinlib-Debug-85f66ede79fcc07a8384.json", "JSON", 0, 0, 0, 588, 0, 0, 0, 0, 0, 0, 1, 589
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-fft_performance_test-Debug-cab0402d081c3691e02d.json", "JSON", 0, 0, 0, -420, 0, 0, 0, 0, 0, 0, -1, -421
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-fft_performance_test-Debug-f2b1abb8c4b0cd37b6bf.json", "JSON", 0, 0, 0, 420, 0, 0, 0, 0, 0, 0, 1, 421
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-fftw_multithreading_test-Debug-77d4264e485ff2ba4293.json", "JSON", 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 1, 212
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-fftw_size_decomposition_test-Debug-bba7c3d424aa5103ed1c.json", "JSON", 0, 0, 0, 211, 0, 0, 0, 0, 0, 0, 1, 212
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-imgui_lib-Debug-79d27c04a1298a469f81.json", "JSON", 0, 0, 0, -180, 0, 0, 0, 0, 0, 0, -1, -181
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-imgui_lib-Debug-957e05cfcd0a38d4ceec.json", "JSON", 0, 0, 0, 180, 0, 0, 0, 0, 0, 0, 1, 181
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-implot3d_lib-Debug-cd532ac2a3299bb546c6.json", "JSON", 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 1, 163
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-implot3d_lib-Debug-da9ce58c0a1223c6f687.json", "JSON", 0, 0, 0, -162, 0, 0, 0, 0, 0, 0, -1, -163
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-openmp_backend-Debug-32647926c54185d1c177.json", "JSON", 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 1, 185
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-openmp_test-Debug-57a16f533a8c79757de4.json", "JSON", 0, 0, 0, 420, 0, 0, 0, 0, 0, 0, 1, 421
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-tiff_generation_test-Debug-0775a0ff57b58f2d95bb.json", "JSON", 0, 0, 0, -420, 0, 0, 0, 0, 0, 0, -1, -421
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-tiff_generation_test-Debug-cf8252f4c3170230c008.json", "JSON", 0, 0, 0, 420, 0, 0, 0, 0, 0, 0, 1, 421
"/home/lennart-k-hler/projects/dolphin/build/CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 12, 42
"/home/lennart-k-hler/projects/dolphin/build/CMakeFiles/Makefile.cmake", "CMake", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/home/lennart-k-hler/projects/dolphin/build/CMakeFiles/dolphinlib.dir/DependInfo.cmake", "CMake", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/home/lennart-k-hler/projects/dolphin/build/CMakeFiles/dolphinlib.dir/cmake_clean.cmake", "CMake", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/home/lennart-k-hler/projects/dolphin/build/CTestTestfile.cmake", "CMake", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/lennart-k-hler/projects/dolphin/build/Makefile", "Makefile", 0, 0, 118, 0, 0, 0, 0, 0, 0, 31, 42, 191
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251211-0848/Test.xml", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251212-0903/Test.xml", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251215-0920/Test.xml", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251216-0919/Test.xml", "XML", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 1, 63
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251218-0919/Test.xml", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"/home/lennart-k-hler/projects/dolphin/build/Testing/Temporary/LastTest_20251211-0848.log", "Log", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/lennart-k-hler/projects/dolphin/build/Testing/Temporary/LastTest_20251212-0903.log", "Log", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/lennart-k-hler/projects/dolphin/build/Testing/Temporary/LastTest_20251215-0920.log", "Log", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/lennart-k-hler/projects/dolphin/build/Testing/Temporary/LastTest_20251216-0919.log", "Log", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 8, 51
"/home/lennart-k-hler/projects/dolphin/build/Testing/Temporary/LastTest_20251218-0919.log", "Log", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/home/lennart-k-hler/projects/dolphin/build/backends/openmp/CMakeFiles/CMakeDirectoryInformation.cmake", "CMake", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/home/lennart-k-hler/projects/dolphin/build/backends/openmp/CMakeFiles/openmp_backend.dir/DependInfo.cmake", "CMake", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/home/lennart-k-hler/projects/dolphin/build/backends/openmp/CMakeFiles/openmp_backend.dir/cmake_clean.cmake", "CMake", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/lennart-k-hler/projects/dolphin/build/backends/openmp/CMakeFiles/openmp_backend.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"/home/lennart-k-hler/projects/dolphin/build/backends/openmp/Makefile", "Makefile", 0, 0, 96, 0, 0, 0, 0, 0, 0, 49, 49, 194
"/home/lennart-k-hler/projects/dolphin/build/backends/openmp/cmake_install.cmake", "CMake", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"/home/lennart-k-hler/projects/dolphin/build/cmake_install.cmake", "CMake", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/lennart-k-hler/projects/dolphin/build/compile_commands.json", "JSON", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 54
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/fftw_multithreading_test.dir/DependInfo.cmake", "CMake", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/fftw_multithreading_test.dir/cmake_clean.cmake", "CMake", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/fftw_multithreading_test.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/fftw_size_decomposition_test.dir/DependInfo.cmake", "CMake", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24
"/home/lennart-k-hler/projects/dolphin/build/tests/CMakeFiles/fftw_size_decomposition_test.dir/cmake_clean.cmake", "CMake", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
