"filename", "language", "C++", "CUDA C++", "CMake", "JSON", "Markdown", "TypeScript", "Makefile", "Ini", "comment", "blank", "total"
"/home/lennart-k-hler/projects/dolphin/build/CMakeFiles/backendlib.dir/cmake_clean.cmake", "CMake", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"/home/lennart-k-hler/projects/dolphin/build/CMakeFiles/backendlib.dir/cmake_clean_target.cmake", "CMake", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/lennart-k-hler/projects/dolphin/build/CMakeFiles/backendlib.dir/compiler_depend.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"/home/lennart-k-hler/projects/dolphin/build/CMakeFiles/dolphinlib.dir/DependInfo.cmake", "CMake", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/lennart-k-hler/projects/dolphin/build/CMakeFiles/dolphinlib.dir/cmake_clean.cmake", "CMake", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"/home/lennart-k-hler/projects/dolphin/build/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 43, 0, 10, 15, 68
"/home/lennart-k-hler/projects/dolphin/build/compile_commands.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"/home/lennart-k-hler/projects/dolphin/build/imgui.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, -15, 0, -6, -21
"/home/lennart-k-hler/projects/dolphin/configs/default_config.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/lennart-k-hler/projects/dolphin/examples/memory_exception_example.cpp", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 9, 10, 47
"/home/lennart-k-hler/projects/dolphin/include/Dolphin.h", "C++", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"/home/lennart-k-hler/projects/dolphin/include/RectangleShape.h", "C++", -37, 0, 0, 0, 0, 0, 0, 0, 0, -3, -40
"/home/lennart-k-hler/projects/dolphin/include/ThreadPool.h", "C++", -2, 0, 0, 0, 0, 0, 0, 0, -1, 0, -3
"/home/lennart-k-hler/projects/dolphin/include/backend/BackendFactory.h", "C++", 46, 0, 0, 0, 0, 0, 0, 0, 2, 13, 61
"/home/lennart-k-hler/projects/dolphin/include/backend/ComplexData.h", "C++", 80, 0, 0, 0, 0, 0, 0, 0, 3, 11, 94
"/home/lennart-k-hler/projects/dolphin/include/backend/Exceptions.h", "C++", 63, 0, 0, 0, 0, 0, 0, 0, 4, 15, 82
"/home/lennart-k-hler/projects/dolphin/include/backend/IBackendMemoryManager.h", "C++", 42, 0, 0, 0, 0, 0, 0, 0, 4, 12, 58
"/home/lennart-k-hler/projects/dolphin/include/backend/IDeconvolutionBackend.h", "C++", 81, 0, 0, 0, 0, 0, 0, 0, 10, 35, 126
"/home/lennart-k-hler/projects/dolphin/include/complexType.h", "C++", -2, 0, 0, 0, 0, 0, 0, 0, 0, -2, -4
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/DeconvolutionBackendThreadManager.h", "C++", -15, 0, 0, 0, 0, 0, 0, 0, 0, -6, -21
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/DeconvolutionConfig.h", "C++", 13, 0, 0, 0, 0, 0, 0, 0, -12, 4, 5
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/DeconvolutionProcessor.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, -15, 0, -10
"/home/lennart-k-hler/projects/dolphin/include/deconvolution/IDeconvolutionBackend.h", "C++", -122, 0, 0, 0, 0, 0, 0, 0, -11, -38, -171
