"filename", "language", "Markdown", "C++", "JSON", "Makefile", "XML", "Log", "CMake", "Ini", "CMake Cache", "TypeScript", "CUDA C++", "Shell Script", "comment", "blank", "total"
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-cufft_vs_fftw_comparison-Debug-18855d60e2561c2c27d7.json", "JSON", 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 177
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphin-Debug-ba7dbd9be1c5b75a5caf.json", "JSON", 0, 0, -401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -402
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphin-Debug-befa68194cc747524152.json", "JSON", 0, 0, 401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 402
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphin_tests-Debug-85e97cb1a811e23bacdf.json", "JSON", 0, 0, 428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 429
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphin_tests-Debug-a3896d4ca9022817c423.json", "JSON", 0, 0, -428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -429
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphinlib-Debug-01358fe4dcd76212bfc3.json", "JSON", 0, 0, 548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 549
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-dolphinlib-Debug-fa2161eb70b9a92bda46.json", "JSON", 0, 0, -524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -525
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-fft_performance_test-Debug-92fd2d13026bf165edbe.json", "JSON", 0, 0, -420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -421
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-fft_performance_test-Debug-cab0402d081c3691e02d.json", "JSON", 0, 0, 420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 421
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-imgui_lib-Debug-79d27c04a1298a469f81.json", "JSON", 0, 0, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 181
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-imgui_lib-Debug-c23e93502e1d369c41ed.json", "JSON", 0, 0, -180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -181
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-implot3d_lib-Debug-708bd818efdfcfa2debb.json", "JSON", 0, 0, -162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -163
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-implot3d_lib-Debug-da9ce58c0a1223c6f687.json", "JSON", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 163
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-tiff_generation_test-Debug-0775a0ff57b58f2d95bb.json", "JSON", 0, 0, 420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 421
"/home/lennart-k-hler/projects/dolphin/build/CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 1, 42
"/home/lennart-k-hler/projects/dolphin/build/CMakeFiles/Makefile.cmake", "CMake", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"/home/lennart-k-hler/projects/dolphin/build/CMakeFiles/dolphinlib.dir/DependInfo.cmake", "CMake", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 3
"/home/lennart-k-hler/projects/dolphin/build/CMakeFiles/dolphinlib.dir/cmake_clean.cmake", "CMake", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"/home/lennart-k-hler/projects/dolphin/build/Makefile", "Makefile", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 17, 24, 109
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251110-1226/Test.xml", "XML", 0, 0, 0, 0, -34, 0, 0, 0, 0, 0, 0, 0, 0, -1, -35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251111-1034/Test.xml", "XML", 0, 0, 0, 0, -34, 0, 0, 0, 0, 0, 0, 0, 0, -1, -35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251112-1041/Test.xml", "XML", 0, 0, 0, 0, -34, 0, 0, 0, 0, 0, 0, 0, 0, -1, -35
"/home/lennart-k-hler/projects/dolphin/build/Testing/20251114-0903/Test.xml", "XML", 0, 0, 0, 0, -34, 0, 0, 0, 0, 0, 0, 0, 0, -1, -35
