"filename", "language", "Ini", "Markdown", "Log", "C++", "JSON", "Makefile", "XML", "CMake", "YAML", "GLSL", "TypeScript", "Shell Script", "Objective-C++", "CUDA C++", "C", "HTML", "Gradle", "CMake Cache", "Python", "pip requirements", "comment", "blank", "total"
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/directory-.-Debug-f5ebdc15457944623624.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/directory-backends.cpu-Debug-1420a3450912eedca3ba.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/directory-backends.cuda-Debug-6ac5b8aa9a84663297a6.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/directory-cube.build-Debug-d5d82b94a20bc9c7ae42.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/directory-tests-Debug-b01f6abb0ab61427ef3b.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/directory-tests.backends-Debug-ec58848a681ed07a6361.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/index-2025-12-10T08-51-51-0400.json", "JSON", 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 133
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-CUBE-Debug-7843643db23c192db8cb.json", "JSON", 0, 0, 0, 0, 402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 403
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-backendlib-Debug-a4ab383c8333823a0fc5.json", "JSON", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 118
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-cpu_backend-Debug-e7b82370f724e6fd7f48.json", "JSON", 0, 0, 0, 0, 184, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 185
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-cpu_test-Debug-be46c4d7c81a3894e3dd.json", "JSON", 0, 0, 0, 0, 420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 421
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-cuda_backend-Debug-40fcc6a846db6c1ea7d5.json", "JSON", 0, 0, 0, 0, 331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 332
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-cuda_test-Debug-619435b23b7c0b8a0b03.json", "JSON", 0, 0, 0, 0, 420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 421
"/home/lennart-k-hler/projects/dolphin/build/.cmake/api/v1/reply/target-cufft_vs_fftw_comparison-Debug-18855d60e2561c2c27d7.json", "JSON", 0, 0, 0, 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 177
